fmt ,CodedValue,valnci ,rank ,OrderNumber,decoded,dictionary ,version ,href
AGEGR1 ,<65 ,,1,,,,,
AGEGR1 ,65-80,,2,,,,,
AGEGR1 ,>80 ,,3,,,,,
AGEGR1N ,1,,,1,<65,,,
AGEGR1N ,2,,,2,65-80,,,
AGEGR1N ,3,,,3,>80,,,
AGEU,YEARS,C29848,,,,,,
ARM ,Placebo ,,,1,,,,
ARM ,Xanomeline Low Dose,,,2,,,,
ARM ,Xanomeline High Dose,,,3,,,,
ARMN,0,,,1,Placebo ,,,
ARMN,54,,,2,Xanomeline Low Dose ,,,
ARMN,81,,,3,Xanomeline High Dose ,,,
AVISIT ,Baseline ,,,1,,,,
AVISIT ,Week 8,,,2,,,,
AVISIT ,Week 16,,,3,,,,
AVISIT ,Week 24,,,4,,,,
AVISITN,0,,,1,Baseline,,,
AVISITN,8,,,2,Week 8,,,
AVISITN,16,,,3,Week 16,,,
AVISITN,24,,,4,Week 24,,,
AWU,DAYS,C25301 ,,,,,,
BMICAT,<25,,1,,Normal ,,,
BMICAT,25-<30,,2,,Overweight,,,
BMICAT,>30,,3,,Obese,,,
DATEFL ,D,C81212,,1,Day Imputed: Day is imputed ,,,
DATEFL ,M,C81211,,2,Month Imputed: Month and day are imputed ,,,
DATEFL ,Y,C81210 ,,3,"Year Imputed: Entire date (year, month and day) is imputed ",,,
DISCCD ,COMPLETED ,C25250,,1,,,,
DISCCD ,ADVERSE EVENT ,C41331,,2,,,,
DISCCD ,DEATH ,C28554 ,,3,,,,
DISCCD ,LACK OF EFFICACY ,C48226 ,,4,,,,
DISCCD ,LOST TO FOLLOW-UP ,C48227 ,,5,,,,
DISCCD ,PHYSICIAN DECISION ,C48250 ,,6,,,,
DISCCD ,PROTOCOL VIOLATION ,C142185,,7,,,,
DISCCD ,STUDY TERMINATED BY SPONSOR,C49632,,8,,,,
DISCCD ,WITHDRAWAL BY SUBJECT,C49634,,9,,,,
DISCREAS,Completed ,,,1,,,,
DISCREAS,Adverse Event ,,,2,,,,
DISCREAS,Death ,,,3,,,,
DISCREAS,I/E Not Met ,,,4,,,,
DISCREAS,Lack of Efficacy ,,,5,,,,
DISCREAS,Lost to Follow-up ,,,6,,,,
DISCREAS,Physicain Decision,,,7,,,,
DISCREAS,Protocol Violation ,,,8,,,,
DISCREAS,Sponsor Decision ,,,9,,,,
DISCREAS,Withdrew Consent ,,,10,,,,
DTYPE ,LOCF ,C81198,,,Last Observation Carried Forward ,,,
DURDISC ,<12 ,,1,,,,,
DURDISC ,>=12 ,,2,,,,,
EOSSTT ,COMPLETED ,C25250 ,,,,,,
EOSSTT ,DISCONTINUED ,C25484,,,,,,
ETHNIC ,HISPANIC OR LATINO ,C17459,,,,,,
ETHNIC ,NOT HISPANIC OR LATINO ,C41222,,,,,,
PARAMCD_ADQSADAS,ACITM01 ,,,1,World Recall Task ,,,
PARAMCD_ADQSADAS,ACITM02 ,,,2,Naming Objects And Fingers (Refer To 5 C ,,,
PARAMCD_ADQSADAS,ACITM03 ,,,3,Delayed Word Recall ,,,
PARAMCD_ADQSADAS,ACITM04 ,,,4,Commands ,,,
PARAMCD_ADQSADAS,ACITM05 ,,,5,Constructional Praxis ,,,
PARAMCD_ADQSADAS,ACITM06 ,,,6,Ideational Praxis ,,,
PARAMCD_ADQSADAS,ACITM07 ,,,7,Orientation ,,,
PARAMCD_ADQSADAS,ACITM08 ,,,8,Word Recognition ,,,
PARAMCD_ADQSADAS,ACITM09 ,,,9,Visual Search Task ,,,
PARAMCD_ADQSADAS,ACITM10 ,,,10,Maze Solution ,,,
PARAMCD_ADQSADAS,ACITM11 ,,,11,Spoken Language Ability ,,,
PARAMCD_ADQSADAS,ACITM12 ,,,12,Comprehension of Spoken Language ,,,
PARAMCD_ADQSADAS,ACITM13 ,,,13,Word Finding Difficulty in Spontaneous Speech ,,,
PARAMCD_ADQSADAS,ACITM14 ,,,14,Recall of Test Instructions ,,,
PARAMCD_ADQSADAS,ACTOT ,,,15,Adas-cog(11) Subscore ,,,
PARAMN_ADQSADAS,1,,,1,World Recall Task ,,,
PARAMN_ADQSADAS,2,,,2,Naming Objects And Fingers (Refer To 5 C ,,,
PARAMN_ADQSADAS,3,,,3,Delayed Word Recall ,,,
PARAMN_ADQSADAS,4,,,4,Commands ,,,
PARAMN_ADQSADAS,5,,,5,Constructional Praxis ,,,
PARAMN_ADQSADAS,6,,,6,Ideational Praxis ,,,
PARAMN_ADQSADAS,7,,,7,Orientation ,,,
PARAMN_ADQSADAS,8,,,8,Word Recognition ,,,
PARAMN_ADQSADAS,9,,,9,Visual Search Task ,,,
PARAMN_ADQSADAS,10,,,10,Maze Solution ,,,
PARAMN_ADQSADAS,11,,,11,Spoken Language Ability ,,,
PARAMN_ADQSADAS,12,,,12,Comprehension of Spoken Language ,,,
PARAMN_ADQSADAS,13,,,13,Word Finding Difficulty in Spontaneous Speech ,,,
PARAMN_ADQSADAS,14,,,14,Recall of Test Instructions ,,,
PARAMN_ADQSADAS,15,,,15,Adas-cog(11) Subscore ,,,
PARAM_ADQSADAS,World Recall Task ,,,1,,,,
PARAM_ADQSADAS,Naming Objects And Fingers (Refer To 5 C ,,,2,,,,
PARAM_ADQSADAS,Delayed Word Recall ,,,3,,,,
PARAM_ADQSADAS,Commands ,,,4,,,,
PARAM_ADQSADAS,Constructional Praxis ,,,5,,,,
PARAM_ADQSADAS,Ideational Praxis ,,,6,,,,
PARAM_ADQSADAS,Orientation ,,,7,,,,
PARAM_ADQSADAS,Word Recognition ,,,8,,,,
PARAM_ADQSADAS,Visual Search Task ,,,9,,,,
PARAM_ADQSADAS,Maze Solution ,,,10,,,,
PARAM_ADQSADAS,Spoken Language Ability ,,,11,,,,
